id,cluster
366325,99
366326,78
366327,63
366328,84
366329,-1
366330,58
366331,36
366332,36
366333,71
366334,75
366335,18
366337,23
366338,-1
366339,-1
366340,62
366341,58
366342,5
366343,60
366344,96
366345,-1
366346,-1
366347,87
366348,58
366349,49
366350,67
366351,-1
366352,98
366353,98
366354,-1
366355,6
366356,36
366357,58
366358,69
366359,65
366360,58
366361,63
366362,58
366363,63
366364,63
366365,-1
366366,58
366367,103
366368,90
366369,58
366370,12
366371,34
366372,40
366373,-1
366374,12
366375,58
366376,54
366377,65
366378,15
366379,4
366380,1
366381,14
366382,81
366383,89
366384,86
366385,58
366386,-1
366387,57
366388,57
366389,66
366390,58
366391,58
366392,58
366393,58
366394,58
366395,67
366396,15
366397,57
366398,58
366399,58
366400,-1
366401,40
366402,15
366403,39
366404,27
366405,48
366406,-1
366407,81
366408,36
366409,26
366410,68
366411,20
366412,60
366413,58
366414,-1
366415,-1
366417,-1
366418,59
366419,66
366420,60
366421,40
366422,97
366423,32
366424,17
366425,-1
366426,58
366427,67
366428,-1
366429,40
366430,68
366431,17
366432,32
366433,40
366434,40
366435,40
366436,40
366437,15
366438,43
366439,14
366440,18
366441,27
366442,58
366443,17
366444,58
366445,12
366446,59
366447,33
366448,67
366449,61
366451,0
366452,2
366453,-1
366454,-1
366455,40
366456,67
366457,-1
366458,-1
366459,102
366460,-1
366461,15
366462,15
366463,-1
366464,12
366465,59
366466,-1
366467,14
366468,-1
366469,-1
366470,89
366471,-1
366472,68
366473,63
366475,1
366474,63
366476,-1
366477,15
366478,100
366479,95
366480,84
366481,-1
366482,41
366483,-1
366484,82
366485,74
366486,62
366487,63
366488,-1
366489,93
366490,53
366491,95
366492,-1
366493,-1
366494,30
366495,12
366496,96
366497,15
366498,-1
366499,-1
366500,9
366501,46
366502,40
366503,96
366504,-1
366505,18
366506,-1
366507,74
366508,11
366509,47
366510,59
366511,92
366512,67
366513,92
366514,62
366515,-1
366516,8
366517,-1
366518,69
366519,58
366520,92
366521,84
366522,82
366523,-1
366524,65
366525,69
366526,68
366527,-1
366528,-1
366529,78
366530,59
366531,15
366532,73
366533,35
366534,59
366535,70
366536,34
366537,69
366538,65
366539,59
366540,45
366541,6
366542,-1
366543,47
366544,3
366545,89
366546,91
366547,-1
366549,75
366550,57
366551,58
366552,41
366553,27
366554,-1
366555,40
366556,58
366557,-1
366558,79
366559,76
366560,-1
366561,45
366562,54
366563,59
366564,-1
366565,100
366566,8
366567,45
366568,79
366569,103
366570,-1
366571,40
366572,98
366573,58
366574,58
366575,67
366576,40
366577,58
366578,49
366579,51
366580,61
366581,59
366582,59
366583,101
366584,-1
366585,32
366586,58
366587,-1
366588,-1
366589,5
366590,101
366591,77
366592,69
366593,102
366594,46
366595,99
366596,-1
366597,69
366598,66
366599,59
366600,-1
366601,45
366602,15
366603,58
366604,67
366605,58
366606,46
366607,67
366608,57
366609,57
366610,63
366611,67
366612,58
366613,87
366614,62
366615,-1
366616,12
366617,58
366618,12
366619,89
366620,70
366621,32
366622,12
366623,12
366624,-1
366625,-1
366626,58
366627,77
366628,58
366629,82
366630,52
366631,-1
366633,0
366634,2
366635,-1
366636,17
366637,-1
366638,94
366639,26
366640,35
366641,58
366642,-1
366643,1
366644,15
366645,58
366646,32
366647,60
366648,66
366649,-1
366650,95
366651,35
366652,58
366653,15
366654,98
366655,57
366656,94
366657,-1
366658,74
366659,58
366660,40
366661,-1
366662,74
366663,74
366664,-1
366665,53
366666,93
366667,67
366668,-1
366669,9
366670,-1
366671,63
366672,62
366673,27
366674,88
366675,58
366676,41
366677,97
366678,-1
366679,74
366680,12
366681,83
366682,82
366683,69
366684,65
366685,-1
366686,-1
366687,26
366688,86
366689,-1
366690,-1
366691,-1
366692,15
366693,10
366694,-1
366695,26
366696,41
366697,-1
366698,98
366699,102
366700,-1
366701,8
366702,87
366703,-1
366704,73
366705,23
366706,-1
366707,19
366708,-1
366709,-1
366710,48
366711,-1
366712,100
366713,103
366714,-1
366715,-1
366716,91
366717,92
366718,-1
366719,-1
366720,-1
366721,45
366722,-1
366723,66
366724,-1
366725,46
366726,3
366727,-1
366728,3
366729,48
366730,48
366731,3
366732,-1
366733,53
366734,65
366735,30
366736,97
366737,47
366738,53
366739,64
366740,100
366741,58
366742,100
366743,-1
366744,-1
366745,-1
366746,-1
366747,89
366748,58
366749,3
366750,-1
366751,69
366752,21
366753,64
366754,69
366755,27
366756,39
366757,38
366758,102
366760,74
366761,-1
366763,-1
366764,98
366765,19
366766,12
366767,27
366768,31
366769,19
366770,-1
366771,58
366772,77
366773,55
366774,-1
366775,-1
366776,62
366777,58
366778,26
366779,100
366780,-1
366781,10
366782,86
366783,5
366784,90
366785,85
366786,59
366787,12
366788,-1
366789,24
366790,58
366791,12
366792,7
366793,46
366794,-1
366795,23
366796,58
366797,62
366798,12
366799,23
366800,79
366801,47
366802,54
366803,-1
366804,12
366805,19
366806,68
366807,16
366808,-1
