id,cluster
366352,0
366353,0
366354,8
366355,8
366356,1
366357,4
366358,8
366359,8
366360,4
366361,1
366362,2
366363,1
366364,1
366365,6
366366,4
366367,8
366368,0
366369,4
366370,4
366371,8
366372,8
366373,6
366374,4
366375,4
366376,8
366377,8
366378,2
366379,8
366380,8
366381,6
366382,1
366383,11
366384,0
366385,4
366386,4
366387,6
366388,6
366389,2
366390,2
366391,4
366392,4
366393,2
366394,4
366395,2
366396,2
366397,6
366398,4
366399,4
366400,2
366401,8
366402,8
366403,1
366404,3
366405,0
366406,3
366407,1
366408,1
366409,3
366410,8
366411,8
366412,6
366413,2
366414,2
366415,7
366417,8
366418,6
366419,2
366420,6
366421,8
366422,8
366423,3
366424,3
366425,6
366426,2
366427,2
366428,6
366429,8
366430,8
366431,1
366432,3
366433,8
366434,8
366435,8
366436,8
366437,1
366438,10
366439,6
366440,8
366441,3
366442,4
366443,1
366444,2
366445,2
366446,6
366447,3
366448,2
366449,7
366451,2
366452,8
366453,10
366454,1
366455,8
366456,2
366457,3
366458,8
366459,0
366460,8
366461,8
366462,1
366463,10
366464,4
366465,1
366466,1
366467,6
366468,0
366469,8
366470,11
366471,8
366472,8
366473,1
366475,8
366474,1
366476,1
366477,3
366478,0
366479,0
366480,0
366481,0
366482,8
366483,0
366484,8
366485,0
366486,0
366487,1
366488,8
366489,5
366490,8
366491,8
366492,6
366493,0
366494,3
366495,2
366496,0
366497,0
366498,8
366499,8
366500,8
366501,1
366502,8
366503,0
366504,6
366505,8
366506,8
366507,8
366508,8
366509,10
366510,6
366511,9
366512,1
366513,9
366514,9
366515,0
366516,8
366517,0
366518,8
366519,2
366520,9
366521,0
366522,9
366523,3
366524,8
366525,8
366526,8
366527,8
366528,6
366529,8
366530,3
366531,6
366532,8
366533,8
366534,6
366535,0
366536,8
366537,8
366538,8
366539,8
366540,8
366541,8
366542,8
366543,8
366544,9
366545,11
366546,9
366547,3
366549,8
366550,6
366551,2
366552,8
366553,3
366554,11
366555,0
366556,4
366557,8
366558,8
366559,8
366560,0
366561,8
366562,8
366563,2
366564,10
366565,3
366566,8
366567,8
366568,0
366569,0
366570,2
366571,8
366572,0
366573,2
366574,4
366575,1
366576,8
366577,2
366578,9
366579,8
366580,2
366581,2
366582,6
366583,3
366584,3
366585,3
366586,2
366587,8
366588,8
366589,5
366590,3
366591,11
366592,1
366593,0
366594,1
366595,9
366596,8
366597,8
366598,2
366599,2
366600,2
366601,8
366602,6
366603,4
366604,4
366605,4
366606,1
366607,4
366608,6
366609,6
366610,1
366611,4
366612,4
366613,9
366614,0
366615,10
366616,4
366617,4
366618,4
366619,11
366620,0
366621,3
366622,2
366623,4
366624,8
366625,8
366626,2
366627,11
366628,1
366629,8
366630,1
366631,7
366633,2
366634,8
366635,11
366636,1
366637,6
366638,8
366639,1
366640,8
366641,4
366642,11
366643,8
366644,0
366645,0
366646,3
366647,6
366648,2
366649,6
366650,0
366651,8
366652,2
366653,6
366654,0
366655,1
366656,0
366657,2
366658,0
366659,2
366660,8
366661,0
366662,0
366663,0
366664,0
366665,0
366666,0
366667,2
366668,6
366669,8
366670,0
366671,1
366672,0
366673,3
366674,11
366675,2
366676,8
366677,3
366678,9
366679,0
366680,8
366681,8
366682,8
366683,1
366684,8
366685,8
366686,8
366687,3
366688,8
366689,11
366690,8
366691,3
366692,1
366693,8
366694,10
366695,3
366696,8
366697,8
366698,3
366699,0
366700,8
366701,1
366702,9
366703,8
366704,8
366705,3
366706,0
366707,8
366708,0
366709,0
366710,0
366711,8
366712,3
366713,1
366714,0
366715,8
366716,9
366717,9
366718,5
366719,8
366720,8
366721,8
